En	Gold Intent	Predict Intent	 Gold Slot	Predict Slot
on april first i need a ticket from tacoma to san jose departing before 7 am	atis_flight	atis_airfare	O B-depart_date.month_name B-depart_date.day_number O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time	O B-depart_date.month_name B-depart_date.day_number O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i need a flight from toronto to newark one way leaving wednesday evening or thursday morning	atis_flight	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name B-depart_time.period_of_day O B-depart_date.day_name B-depart_time.period_of_day	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day
on next wednesday flight from kansas city to chicago should arrive in chicago around 7 pm return flight on thursday	atis_flight	atis_flight	O B-depart_date.date_relative B-depart_date.day_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O B-return_date.day_name	O B-depart_date.date_relative B-depart_date.day_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O O B-arrive_date.day_name
show flight and prices kansas city to chicago on next wednesday arriving in chicago by 7 pm	atis_flight#atis_airfare	atis_flight	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
find nonstop flights from salt lake city to new york on saturday april ninth	atis_flight	atis_flight	O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number	O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number
what day of the week do flights from nashville to tacoma fly on	atis_day_name	atis_flight	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O
what days of the week do flights from san jose to nashville fly on	atis_day_name	atis_flight	O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O	O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O
what meals are served on american flight 665 673 from milwaukee to seattle	atis_meal	atis_meal	O B-meal O O O B-airline_name O B-flight_number I-flight_number O B-fromloc.city_name O B-toloc.city_name	O B-meal O O O B-airline_name O B-flight_number B-flight_number O B-fromloc.city_name O B-toloc.city_name
which flights leave newark after noon next saturday and arrive in los angeles	atis_flight	atis_flight	O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.period_of_day B-depart_date.date_relative B-depart_date.day_name O O O B-toloc.city_name I-toloc.city_name	O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time B-depart_date.date_relative B-depart_date.day_name O O O B-toloc.city_name I-toloc.city_name
show me round trip flights from chicago to detroit leaving next tuesday and returning the day after	atis_flight	atis_flight	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O O B-return_date.date_relative I-return_date.date_relative	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O O B-return_date.date_relative I-depart_date.today_relative I-depart_date.today_relative
please find a flight from las vegas to michigan	atis_flight	atis_flight	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.state_name	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
please find a flight that goes from kansas city to newark to orlando back to kansas city	atis_flight	atis_flight	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-toloc.city_name O O B-toloc.city_name I-toloc.city_name	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-toloc.city_name O O B-fromloc.city_name I-fromloc.city_name
does the airport at burbank have a flight that comes in from kansas city	atis_airport	atis_airport	O O O O B-toloc.city_name O O O O O O O B-fromloc.city_name I-fromloc.city_name	O O O O B-fromloc.city_name O O O O O O O B-fromloc.city_name I-fromloc.city_name
